Time,PV_Pow
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,28.09136623
43,113.1995794
44,214.8600318
45,329.5201953
46,453.6275415
47,583.6295424
48,715.9736698
49,847.1073953
50,973.4781909
51,1091.533528
52,1197.720879
53,1267.483419
54,1349.170882
55,1427.268608
56,1512.415422
57,1615.250153
58,1746.411627
59,1916.53867
60,2136.270109
61,2416.244772
62,2767.101484
63,3199.479072
64,3583.648986
65,4179.406474
66,4863.828316
67,5628.36067
68,6464.449688
69,7363.541529
70,8317.082346
71,9316.518296
72,10353.29553
73,11418.86022
74,12504.6585
75,13327.13987
76,14428.86214
77,15533.47293
78,16638.40129
79,17741.0763
80,18838.92699
81,18838.92699
82,18838.92699
83,19929.38243
84,21009.87168
85,22077.82379
86,23130.66781
87,24165.83281
88,25016.76163
89,25927.47112
90,26903.81737
91,27858.46305
92,28791.77469
93,29704.11882
94,30595.86195
95,31467.37061
96,32319.01132
97,33151.1506
98,33964.15498
99,34724.24429
100,35341.80579
101,36102.32889
102,36841.5173
103,37557.74464
104,38249.38453
105,38914.81058
106,39552.39639
107,40160.51559
108,40737.54179
109,41281.84859
110,41791.80962
111,42150.97333
112,42599.93427
113,43016.99177
114,43404.65041
115,43765.41479
116,44101.7895
117,44416.27913
118,44711.38827
119,44989.62151
120,45253.48345
121,45505.47866
122,45688.08129
123,45922.96012
124,46146.67801
125,46357.76241
126,46554.74079
127,46736.14059
128,46900.48929
129,47046.31432
130,47172.14315
131,47276.50324
132,47357.92205
133,47403.07254
134,48000
135,48500
136,49000
137,50000
138,50000
139,50000
140,50000
141,49000
142,48500
143,48000
144,47441.7592
145,47456.32844
146,47447.31036
147,47415.23506
148,47360.63263
149,47284.03319
150,47185.96682
151,47066.96363
152,46927.55372
153,46768.26719
154,46636.07438
155,46443.08105
156,46230.9716
157,45999.74596
158,45749.40407
159,45479.94585
160,45479.94585
161,45479.94585
162,45191.37125
163,44883.6802
164,44556.87263
165,44210.94849
166,43845.90771
167,43559.58188
168,43161.108
169,42743.60654
170,42307.15211
171,41851.81927
172,41377.68262
173,40884.81673
174,40373.2962
175,39843.1956
176,39294.58952
177,38727.55254
178,38290.22433
179,37690.92363
180,37072.41689
181,36433.86777
182,35774.43993
183,35093.29701
184,34389.60267
185,33662.52057
186,32911.21435
187,32134.84767
188,31332.58419
189,30677.02473
190,29864.234
191,28989.77251
192,28092.18906
193,27173.66858
194,26236.39598
195,25282.55615
196,24314.33403
197,23333.91451
198,22343.48251
199,21345.22294
200,20428.78525
201,19586.00309
202,18577.46145
203,17569.24203
204,16563.506
205,16563.506
206,16563.506
207,15562.41453
208,14568.12878
209,13582.80992
210,12608.61912
211,11647.71753
212,10702.26632
213,9774.426667
214,9091.547537
215,8201.546749
216,7339.090592
217,6508.66345
218,5714.749711
219,4961.833758
220,4254.399977
221,3596.932753
222,2993.916472
223,2449.835519
224,1969.174279
225,1652.635368
226,1287.239364
227,981.4506175
228,729.649462
229,526.2162322
230,365.5312627
231,241.974888
232,149.9274423
233,83.76926029
234,37.88067627
235,6.642024733
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0.056261554
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
